product_id,category
I_881901188071,hand bag
I_f052906c12b9,flat shoes
I_4e2056ae9d96,trousers
I_d3e8b8b3a6f1,t
I_a02581fea174,sandal
I_3b3ba8046941,dress
I_a8674a761617,trousers
I_a229aeae6f59,shirt
I_51aabafbe2dd,sweatshirt
I_c3a71a8a7d43,shirt
I_a4a662b08881,t
I_780840e43f80,hand bag
I_9a8b213d4948,skirt
I_cd7d00b38a06,sweater
I_343fa328a075,trousers
I_a37fb3a2b921,trousers
I_2d3a563b3f05,hand bag
I_6adcd901fc93,trousers
I_e4a3a2f6b857,socks
I_5e9581ce099d,panty/underpant
I_96062b5240f2,blazer
I_df670b56d7b7,shirt
I_754def635a8e,trousers
I_e80c8de29061,sandal
I_c591e2fdace4,socks
I_d484229f7d79,flat shoes
I_7e26ab6f0928,shirt
I_d4bf00b44bee,shawl/foulard
I_9bfb98317faf,blazer
I_15bb08ede36f,flat ankle boot
I_d509014ef345,t
I_6f93c289ef4e,socks
I_c3b783634585,coat
I_0c177d6fd3f9,blazer
I_c56c917e1853,flat shoes
I_70bfa1dc8859,trousers
I_2d15ecffef98,accessories
I_468ad7950d4b,shirt
I_12812038594f,sweater
I_70cc1842f1f9,trousers
I_826870307a43,wedge
I_dfe3d302726b,hand bag
I_df042b1f9e7d,shirt
I_1d53b0ac1247,socks
I_8204b9009cb4,sweater
I_af1d80c3f3e4,glasses
I_fe352cbf03bb,trousers
I_7d1a2fd4f275,trousers
I_d3da37a4aca5,trousers
I_d89313b1112e,t
I_ecd41308892a,glasses
I_899fb71a14d1,imit jeweller
I_a9f2b094f3da,sweatshirt
I_fddc2065991c,shirt
I_33c8174fa014,trousers
I_c48aa9dc86fb,trousers
I_29801c42d8ea,running shoes
I_2bf087f8091d,trousers
I_3350a579605e,baby jacket/coat
I_c746f785265b,trousers
I_93fa83088119,overall
I_28e6f16d5b1d,trousers
I_04aa38faefbf,accessories
I_0ae4e2915a0a,trousers
I_159beaf5047d,trousers
I_5e37b628fc53,tops and others
I_bbd087085224,gloves
I_0ebe16efed09,sweater
I_e6d2bc9cf54e,bermuda
I_b6e675975848,sandal
I_7aea03dc2c84,hat
I_f8ce88ffb69c,trousers
I_523c30eaa03a,wind
I_ccb4fe2d47e3,trousers
I_3e31e9fafeee,bra
I_f69c505da0d7,baby sweater
I_539be8cd9cbf,blazer
I_2976b874fb51,skirt
I_a5fe29ce2045,panty/underpant
I_42e52a36ca24,t
I_a6037e854ff2,panty/underpant
I_9e9e5bdf8369,ankle boot
I_ac2014e91e9c,moccasins
I_d6faea73fdf0,ankle boot
I_65a12ffbaa9b,bermuda
I_9bc112363132,shoes
I_cb02b3d4c9f1,cardigan
I_ef069fcb08a5,shirt
I_99e565f55bb2,tops and others
I_d83b911ecff9,waistcoat
I_770efa9d82e4,hat
I_af2ca02e9ec2,t
I_b342d03123e9,facial cosmetics
I_c03bd81025b9,hat
I_9c519da1ba2e,sweater
I_43982faa2907,shoes
I_60039a9890cc,bermuda
I_140f2d0d3bd5,trench raincoat
I_4ef42ab3cddf,coat
I_3b78bc15b93f,running shoes
I_721011bb7e71,hand bag
I_8be7e1978605,trainers
I_09d961b7f605,sweatshirt
I_11775abc3e58,belt
I_16463e6af303,trousers
I_3ceebc2e082b,bermuda
I_dc0104054089,sweater
I_dc9a325fded6,shirt
I_8016002ba8ab,hat
I_acaa50846935,moccasins
I_8bbe939461d9,flat boot
I_46793af58d1a,belt
I_73cc04f66543,shirt
I_331270b835fb,imit jeweller
I_491bf01f348c,sweater
I_185b5c71182a,skirt
I_3b16d0bcae68,flat shoes
I_d7438aae70aa,trousers
I_0d91952dcf82,wind
I_09da860bfd2b,trousers
I_5612621db5f9,shoes
I_a2613ed2c380,socks
I_b0721986f325,shoes
I_83a47794a250,shirt
I_939fd7bfa59b,shirt
I_a6bf583eb53f,sweater
I_38e69bad5283,moccasins
I_177ac7c4643c,tops and others
